symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
FMHI,First Trust Municipal High Income ETF,50.38,2015e4,NA,NA,NA,http://www.nasdaq.com/symbol/fmhi,NASDAQ
QABA,First Trust NASDAQ ABA Community Bank Index Fund,54.81,3316e5,NA,NA,NA,http://www.nasdaq.com/symbol/qaba,NASDAQ
FTXO,First Trust Nasdaq Bank ETF,31.76,135e7,NA,NA,NA,http://www.nasdaq.com/symbol/ftxo,NASDAQ
QCLN,First Trust NASDAQ Clean Edge Green Energy Index Fund,20.96,9746e4,NA,NA,NA,http://www.nasdaq.com/symbol/qcln,NASDAQ
GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index,52.9558,3442e4,NA,NA,NA,http://www.nasdaq.com/symbol/grid,NASDAQ
CIBR,First Trust NASDAQ Cybersecurity ETF,24.21,4031e5,NA,NA,NA,http://www.nasdaq.com/symbol/cibr,NASDAQ
FTXG,First Trust Nasdaq Food & Beverage ETF,21.02,105e4,NA,NA,NA,http://www.nasdaq.com/symbol/ftxg,NASDAQ
CARZ,First Trust NASDAQ Global Auto Index Fund,44.25,2213e4,NA,NA,NA,http://www.nasdaq.com/symbol/carz,NASDAQ
FTXN,First Trust Nasdaq Oil & Gas ETF,22.11,553e4,NA,NA,NA,http://www.nasdaq.com/symbol/ftxn,NASDAQ
FTXH,First Trust Nasdaq Pharmaceuticals ETF,23.09,231e4,NA,NA,NA,http://www.nasdaq.com/symbol/ftxh,NASDAQ
FTXD,First Trust Nasdaq Retail ETF,23.46,117e4,NA,NA,NA,http://www.nasdaq.com/symbol/ftxd,NASDAQ
FTXL,First Trust Nasdaq Semiconductor ETF,31.83,3024e4,NA,NA,NA,http://www.nasdaq.com/symbol/ftxl,NASDAQ
FONE,First Trust NASDAQ Smartphone Index Fund,53.91,16170000.000000002,NA,NA,NA,http://www.nasdaq.com/symbol/fone,NASDAQ
TDIV,First Trust NASDAQ Technology Dividend Index Fund,36.97,87453e4,NA,NA,NA,http://www.nasdaq.com/symbol/tdiv,NASDAQ
FTXR,First Trust Nasdaq Transportation ETF,26.8698,269e4,NA,NA,NA,http://www.nasdaq.com/symbol/ftxr,NASDAQ
QQEW,First Trust NASDAQ-100 Equal Weighted Index Fund,62.2564,56965e4,NA,NA,NA,http://www.nasdaq.com/symbol/qqew,NASDAQ
QQXT,First Trust NASDAQ-100 Ex-Technology Sector Index Fund,52.34,10991e4,NA,NA,NA,http://www.nasdaq.com/symbol/qqxt,NASDAQ
QTEC,First Trust NASDAQ-100- Technology Index Fund,76.87,234e7,NA,NA,NA,http://www.nasdaq.com/symbol/qtec,NASDAQ
AIRR,First Trust RBA American Industrial Renaissance ETF,27.85,21445e4,NA,NA,NA,http://www.nasdaq.com/symbol/airr,NASDAQ
QINC,First Trust RBA Quality Income ETF,25.6873,3082e4,NA,NA,NA,http://www.nasdaq.com/symbol/qinc,NASDAQ
RDVY,First Trust Rising Dividend Achievers ETF,31.53,38624e4,NA,NA,NA,http://www.nasdaq.com/symbol/rdvy,NASDAQ
RFAP,First Trust RiverFront Dynamic Asia Pacific ETF,64.25,4498e4,NA,NA,NA,http://www.nasdaq.com/symbol/rfap,NASDAQ
RFDI,First Trust RiverFront Dynamic Developed International ETF,68.3,56006e4,NA,NA,NA,http://www.nasdaq.com/symbol/rfdi,NASDAQ
RFEM,First Trust RiverFront Dynamic Emerging Markets ETF,77.93,9741e4,NA,NA,NA,http://www.nasdaq.com/symbol/rfem,NASDAQ
RFEU,First Trust RiverFront Dynamic Europe ETF,69.805,1431e5,NA,NA,NA,http://www.nasdaq.com/symbol/rfeu,NASDAQ
FTSL,First Trust Senior Loan Fund ETF,48.27,135e7,NA,NA,NA,http://www.nasdaq.com/symbol/ftsl,NASDAQ
FYX,First Trust Small Cap Core AlphaDEX Fund,63.17,55274e4,NA,NA,NA,http://www.nasdaq.com/symbol/fyx,NASDAQ
FYC,First Trust Small Cap Growth AlphaDEX Fund,44.201,15912e4,NA,NA,NA,http://www.nasdaq.com/symbol/fyc,NASDAQ
RNSC,First Trust Small Cap US Equity Select ETF,22.12,332e4,NA,NA,NA,http://www.nasdaq.com/symbol/rnsc,NASDAQ
FYT,First Trust Small Cap Value AlphaDEX Fund,38.06,8564e4,NA,NA,NA,http://www.nasdaq.com/symbol/fyt,NASDAQ
