symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
CTMX,"CytomX Therapeutics, Inc.",21.57,82847e4,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctmx,NASDAQ
CYTX,Cytori Therapeutics Inc,0.26,913e4,NA,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cytx,NASDAQ
CYTXW,Cytori Therapeutics Inc,0.0191,NA,NA,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cytxw,NASDAQ
CTSO,Cytosorbents Corporation,6.05,17358e4,NA,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ctso,NASDAQ
CYTR,CytRx Corporation,1.75,4837e4,1986,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cytr,NASDAQ
DJCO,Daily Journal Corp. (S.C.),230.19,31783e4,NA,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/djco,NASDAQ
DAKT,"Daktronics, Inc.",9.31,41405e4,1994,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/dakt,NASDAQ
DARE,"Dare Bioscience, Inc.",2.51,1518e4,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dare,NASDAQ
DRIO,DarioHealth Corp.,1.5,1553e4,NA,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/drio,NASDAQ
DRIOW,DarioHealth Corp.,0.2401,NA,NA,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/driow,NASDAQ
DZSI,"DASAN Zhone Solutions, Inc.",8,1311e5,NA,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/dzsi,NASDAQ
DSKE,"Daseke, Inc.",14.03,62282e4,2015,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/dske,NASDAQ
DSKEW,"Daseke, Inc.",1.92,NA,2015,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/dskew,NASDAQ
DAIO,Data I/O Corporation,12.6,10384e4,1981,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/daio,NASDAQ
DWCH,Datawatch Corporation,9.4,11523e4,1992,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/dwch,NASDAQ
PLAY,"Dave & Buster&#39;s Entertainment, Inc.",55.45,226e7,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/play,NASDAQ
DTEA,DAVIDsTEA Inc.,3.85,11094e4,2015,Consumer Non-Durables,Food Chains,http://www.nasdaq.com/symbol/dtea,NASDAQ
DFNL,Davis Select Financial ETF,24.11,NA,NA,NA,NA,http://www.nasdaq.com/symbol/dfnl,NASDAQ
DUSA,Davis Select U.S. Equity ETF,23.12,NA,NA,NA,NA,http://www.nasdaq.com/symbol/dusa,NASDAQ
DWLD,Davis Select Worldwide ETF,25.21,NA,NA,NA,NA,http://www.nasdaq.com/symbol/dwld,NASDAQ
DWSN,Dawson Geophysical Company,4.79,10403e4,NA,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dwsn,NASDAQ
DBVT,DBV Technologies S.A.,21.93,109e7,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/dbvt,NASDAQ
DCPH,"Deciphera Pharmaceuticals, Inc.",16.54,53907e4,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dcph,NASDAQ
DFRG,"Del Frisco&#39;s Restaurant Group, Inc.",15.25,32359e4,2012,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dfrg,NASDAQ
TACO,"Del Taco Restaurants, Inc.",12.09,46761e4,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/taco,NASDAQ
TACOW,"Del Taco Restaurants, Inc.",3.2139,NA,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/tacow,NASDAQ
DMPI,"DelMar Pharmaceuticals, Inc.",0.8185,1768e4,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dmpi,NASDAQ
DELT,Delta Technology Holdings Limited,1,1006e4,NA,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/delt,NASDAQ
DNLI,Denali Therapeutics Inc.,19.04,157e7,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/dnli,NASDAQ
DENN,Denny&#39;s Corporation,13.41,87544e4,NA,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/denn,NASDAQ
XRAY,DENTSPLY SIRONA Inc.,66.48,1527e7,1987,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/xray,NASDAQ
DEPO,"Depomed, Inc.",8.38,528049999.99999994,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/depo,NASDAQ
DERM,"Dermira, Inc.",27.06,113e7,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/derm,NASDAQ
DEST,Destination Maternity Corporation,2.55,356e5,NA,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/dest,NASDAQ
DXLG,"Destination XL Group, Inc.",2.1,10224e4,NA,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/dxlg,NASDAQ
DSWL,"Deswell Industries, Inc.",2.8095,4463e4,1995,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/dswl,NASDAQ
DTRM,"Determine, Inc.",1.66,2458e4,NA,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/dtrm,NASDAQ
RNDM,Developed International Equity Select ETF,51.69,775e4,NA,NA,NA,http://www.nasdaq.com/symbol/rndm,NASDAQ
DXCM,"DexCom, Inc.",57.04,496e7,2005,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dxcm,NASDAQ
DHXM,DHX Media Ltd.,3.15,11053e4,NA,NA,NA,http://www.nasdaq.com/symbol/dhxm,NASDAQ
DHIL,"Diamond Hill Investment Group, Inc.",208,72161e4,NA,Finance,Investment Managers,http://www.nasdaq.com/symbol/dhil,NASDAQ
FANG,"Diamondback Energy, Inc.",109.52,1075e7,2012,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fang,NASDAQ
DCIX,Diana Containerships Inc.,5.44,412e4,NA,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/dcix,NASDAQ
DRNA,"Dicerna Pharmaceuticals, Inc.",7.595,15834e4,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/drna,NASDAQ
DFBG,Differential Brands Group Inc.,1.09,1453e4,NA,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/dfbg,NASDAQ
DFFN,Diffusion Pharmaceuticals Inc.,1.34,1946e4,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dffn,NASDAQ
DGII,Digi International Inc.,9.8,26131e4,1989,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/dgii,NASDAQ
DMRC,Digimarc Corporation,36.25,42268e4,NA,Technology,EDP Services,http://www.nasdaq.com/symbol/dmrc,NASDAQ
DRAD,Digirad Corporation,2.25,4512e4,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/drad,NASDAQ
DGLY,"Digital Ally, Inc.",2.75,1919e4,NA,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/dgly,NASDAQ
APPS,"Digital Turbine, Inc.",1.79,12828e4,NA,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/apps,NASDAQ
DCOM,"Dime Community Bancshares, Inc.",21.4,80085e4,NA,Finance,Savings Institutions,http://www.nasdaq.com/symbol/dcom,NASDAQ
DIOD,Diodes Incorporated,28.9,143e7,NA,Technology,Semiconductors,http://www.nasdaq.com/symbol/diod,NASDAQ
DISCA,"Discovery Communications, Inc.",21.04,798e7,NA,Consumer Services,Television Services,http://www.nasdaq.com/symbol/disca,NASDAQ
DISCB,"Discovery Communications, Inc.",20,758e7,NA,Consumer Services,Television Services,http://www.nasdaq.com/symbol/discb,NASDAQ
DISCK,"Discovery Communications, Inc.",19.75,749e7,NA,Consumer Services,Television Services,http://www.nasdaq.com/symbol/disck,NASDAQ
DISH,DISH Network Corporation,48.57,2265e7,1995,Consumer Services,Television Services,http://www.nasdaq.com/symbol/dish,NASDAQ
