symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
HTGC,"Hercules Capital, Inc.",12.99,109e7,2012,NA,NA,http://www.nasdaq.com/symbol/htgc,NYSE
HTGX,"Hercules Capital, Inc.",25.49,NA,2014,NA,NA,http://www.nasdaq.com/symbol/htgx,NYSE
HRTG,"Heritage Insurance Holdings, Inc.",17.51,42725e4,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/hrtg,NYSE
HT,Hersha Hospitality Trust,17.68,73566e4,1999,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ht,NYSE
HT^C,Hersha Hospitality Trust,25.35,NA,NA,NA,NA,http://www.nasdaq.com/symbol/ht^c,NYSE
HT^D,Hersha Hospitality Trust,25.3994,NA,NA,NA,NA,http://www.nasdaq.com/symbol/ht^d,NYSE
HT^E,Hersha Hospitality Trust,25.31,NA,NA,NA,NA,http://www.nasdaq.com/symbol/ht^e,NYSE
HSY,Hershey Company (The),114.14,2405e7,NA,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/hsy,NYSE
HTZ,"Hertz Global Holdings, Inc",22.55,189e7,2016,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/htz,NYSE
HES,Hess Corporation,43.4,1379e7,NA,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/hes,NYSE
HES^A,Hess Corporation,54.05,NA,NA,NA,NA,http://www.nasdaq.com/symbol/hes^a,NYSE
HESM,Hess Midstream Partners LP,21.29,116e7,2017,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/hesm,NYSE
HPE,Hewlett Packard Enterprise Company,14.41,2298e7,2015,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/hpe,NYSE
HXL,Hexcel Corporation,61.92,556e7,NA,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/hxl,NYSE
HF,"HFF, Inc.",44.82,173e7,2007,Consumer Services,Real Estate,http://www.nasdaq.com/symbol/hf,NYSE
HCLP,Hi-Crush Partners LP,10.7,97403e4,2012,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/hclp,NYSE
HFRO,Highland Floating Rate Opportunities Fund,15.35,11e8,2017,NA,NA,http://www.nasdaq.com/symbol/hfro,NYSE
HIW,"Highwoods Properties, Inc.",51.75,534e7,1994,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hiw,NYSE
HIL,"Hill International, Inc.",5.6,29052e4,NA,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/hil,NYSE
HI,Hillenbrand Inc,44.6,281e7,NA,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/hi,NYSE
HRC,Hill-Rom Holdings Inc,83.25,548e7,NA,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/hrc,NYSE
HTH,Hilltop Holdings Inc.,24.61,236e7,NA,Finance,Major Banks,http://www.nasdaq.com/symbol/hth,NYSE
HGV,Hilton Grand Vacations Inc.,41.81,4139999999.9999995,2016,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/hgv,NYSE
HLT,Hilton Worldwide Holdings Inc.,77.09,2467e7,2016,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/hlt,NYSE
HNI,HNI Corporation,35.3,153e7,NA,Consumer Durables,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/hni,NYSE
HMLP,Hoegh LNG Partners LP,17.85,58764e4,2014,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/hmlp,NYSE
HMLP^A,Hoegh LNG Partners LP,26.15,NA,NA,NA,NA,http://www.nasdaq.com/symbol/hmlp^a,NYSE
HEP,"Holly Energy Partners, L.P.",33.9,218e7,2004,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/hep,NYSE
HFC,HollyFrontier Corporation,47.86,848e7,NA,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/hfc,NYSE
HD,"Home Depot, Inc. (The)",182.58,21321e7,NA,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/hd,NYSE
HMC,"Honda Motor Company, Ltd.",33.68,607e8,NA,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/hmc,NYSE
HON,Honeywell International Inc.,154.25,11751e7,NA,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/hon,NYSE
HMN,Horace Mann Educators Corporation,43.65,178e7,1991,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/hmn,NYSE
HZN,Horizon Global Corporation,13.45,33542e4,2015,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/hzn,NYSE
HTFA,Horizon Technology Finance Corporation,25.6,NA,2017,NA,NA,http://www.nasdaq.com/symbol/htfa,NYSE
HRL,Hormel Foods Corporation,36.79,1942e7,NA,Consumer Non-Durables,Meat/Poultry/Fish,http://www.nasdaq.com/symbol/hrl,NYSE
HOS,Hornbeck Offshore Services,2.98,11041e4,2004,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/hos,NYSE
