symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
ADI,"Analog Devices, Inc.",86.69,3196e7,NA,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi,NASDAQ
ALOG,Analogic Corporation,84.85,106e7,1972,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog,NASDAQ
ANAB,"AnaptysBio, Inc.",91.96,216e7,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anab,NASDAQ
ANGI,ANGI Homeservices Inc.,10.61,507e7,NA,Consumer Services,Advertising,http://www.nasdaq.com/symbol/angi,NASDAQ
ANSS,"ANSYS, Inc.",148.03,1256e7,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss,NASDAQ
APOG,"Apogee Enterprises, Inc.",48.3,138e7,NA,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/apog,NASDAQ
AINV,Apollo Investment Corporation,5.85,128e7,2004,NA,NA,http://www.nasdaq.com/symbol/ainv,NASDAQ
APPF,"AppFolio, Inc.",42.2,143e7,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appf,NASDAQ
APPN,Appian Corporation,20.86,126e7,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appn,NASDAQ
AAPL,Apple Inc.,173.97,89322e7,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl,NASDAQ
AMAT,"Applied Materials, Inc.",52.54,5603e7,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat,NASDAQ
ACGL,Arch Capital Group Ltd.,92.01,1204e7,NA,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/acgl,NASDAQ
ARNA,"Arena Pharmaceuticals, Inc.",30.23,119e7,2e3,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arna,NASDAQ
ARCC,Ares Capital Corporation,15.8,674e7,2004,NA,NA,http://www.nasdaq.com/symbol/arcc,NASDAQ
ARGX,argenx SE,58.21,156e7,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/argx,NASDAQ
