name,symbol,market_cap,earnings_date,fiscal_quarter,consensus_eps,number_ests,last_year_earnings_date,last_year_eps,earnings_type
Lincoln Educational Services Corporation,LINC,4301e4,2018-03-07,Dec 2017,0.32,1,2017-03-01,0.15,estimated
"MabVax Therapeutics Holdings, Inc.",MBVX,1729e4,2018-03-07,Dec 2017,NA,0,NA,-0.77,estimated
McEwen Mining Inc.,MUX,68758e4,2018-03-07,Dec 2017,0.01,1,2017-03-01,-0.01,estimated
"Merrimack Pharmaceuticals, Inc.",MACK,14853e4,2018-03-07,Dec 2017,-0.28,3,2017-03-01,-2.5,estimated
Monster Beverage Corporation,MNST,364e8,2018-03-07,Dec 2017,0.37,8,2017-03-01,0.35,estimated
Mylan N.V.,MYL,217e8,2018-03-07,Dec 2017,1.42,7,2017-03-01,1.57,estimated
"NanoString Technologies, Inc.",NSTG,16981e4,2018-03-07,Dec 2017,-0.43,4,2017-03-01,-0.55,estimated
Nektar Therapeutics,NKTR,1206e7,2018-03-07,Dec 2017,-0.35,4,2017-03-01,-0.28,estimated
"New York REIT, Inc.",NYRT,33754e4,2018-03-07,Dec 2017,0.11,1,2017-03-01,0.02,estimated
"NN, Inc.",NNBR,74448e4,2018-03-07,Dec 2017,0.31,3,2017-03-01,0.35,estimated
Noodles & Company,NDLS,24671e4,2018-03-07,Dec 2017,-0.01,5,2017-03-01,-0.04,estimated
"Northern Oil and Gas, Inc.",NOG,12028e4,2018-03-07,Dec 2017,0.08,4,2017-03-01,0.04,estimated
"Office Depot, Inc.",ODP,176e7,2018-03-07,Dec 2017,0.07,3,2017-03-01,0.11,estimated
"Okta, Inc.",OKTA,3e9,2018-03-07,Jan 2018,-0.33,4,NA,NA,estimated
"Opko Health, Inc.",OPK,232e7,2018-03-07,Dec 2017,-0.08,3,2017-03-01,-0.04,estimated
"Pacific Ethanol, Inc.",PEIX,1594e5,2018-03-07,Dec 2017,-0.04,5,2017-03-01,0.3,estimated
"Pacira Pharmaceuticals, Inc.",PCRX,154e7,2018-03-07,Dec 2017,-0.08,7,2017-03-01,-0.12,estimated
Pattern Energy Group Inc.,PEGI,183e7,2018-03-07,Dec 2017,0.08,4,2017-03-01,0.05,estimated
"PDL BioPharma, Inc.",PDLI,409e6,2018-03-07,Dec 2017,0.11,2,2017-03-01,0,estimated
Performant Financial Corporation,PFMT,13709e4,2018-03-07,Dec 2017,-0.03,1,2017-03-01,-0.04,estimated
"Planet Fitness, Inc.",PLNT,312e7,2018-03-07,Dec 2017,0.23,11,2017-03-01,0.2,estimated
Puma Biotechnology Inc,PBYI,23e8,2018-03-07,Dec 2017,-1.98,4,2017-03-01,-2.04,estimated
"Pure Storage, Inc.",PSTG,426e7,2018-03-07,Jan 2018,-0.14,4,2017-03-01,-0.21,estimated
R1 RCM Inc.,RCM,52713e4,2018-03-07,Dec 2017,-0.01,1,NA,0.05,estimated
"Retrophin, Inc.",RTRX,87733e4,2018-03-07,Dec 2017,-0.19,2,2017-03-01,0,estimated
Sociedad Quimica y Minera S.A.,SQM,1443e7,2018-03-07,Dec 2017,0.42,2,2017-03-01,0.31,estimated
"Speedway Motorsports, Inc.",TRK,82058e4,2018-03-07,Dec 2017,-0.01,1,2017-03-01,0.01,estimated
"SunOpta, Inc.",STKL,60301e4,2018-03-07,Dec 2017,-0.07,1,2017-03-01,-0.08,estimated
"Teladoc, Inc.",TDOC,2089999999.9999998,2018-03-07,Dec 2017,-0.41,12,2017-03-01,-0.31,estimated
"Tetra Technologies, Inc.",TTI,44617e4,2018-03-07,Dec 2017,-0.03,6,2017-03-01,-0.16,estimated
Trecora Resources,TREC,32508e4,2018-03-07,Dec 2017,0.09,2,2017-03-01,0.07,estimated
Tribune Media Company,TRCO,371e7,2018-03-07,Dec 2017,0.5,3,2017-03-01,0.85,estimated
"Vectrus, Inc.",VEC,30698e4,2018-03-07,Dec 2017,0.4,2,2017-03-01,0.21,estimated
"Veracyte, Inc.",VCYT,20424e4,2018-03-07,Dec 2017,-0.2,4,2017-03-01,-0.14,estimated
"Vitamin Shoppe, Inc",VSI,8512e4,2018-03-07,Dec 2017,-0.24,4,2017-03-01,0.36,estimated
"W&T Offshore, Inc.",WTI,56507e4,2018-03-07,Dec 2017,0.15,1,2017-03-01,0.06,estimated
Zosano Pharma Corporation,ZSAN,NA,2018-03-07,Dec 2017,-4.8,1,2017-03-01,-9.2,estimated
"Aevi Genomic Medicine, Inc.",GNMX,13646e4,2018-03-08,Dec 2017,-0.17,2,2017-03-09,-0.22,estimated
Agenus Inc.,AGEN,37669e4,2018-03-08,Dec 2017,-0.28,2,2017-03-09,-0.3,estimated
Alcentra Capital Corp.,ABDC,11026e4,2018-03-08,Dec 2017,0.26,4,2017-03-09,0.45,estimated
"Allena Pharmaceuticals, Inc.",ALNA,1635e5,2018-03-08,Dec 2017,-0.33,2,NA,NA,estimated
"Aquinox Pharmaceuticals, Inc.",AQXP,31959e4,2018-03-08,Dec 2017,-0.65,1,2017-03-09,-0.48,estimated
Aspen Group Inc.,ASPU,11794e4,2018-03-08,Jan 2018,-0.14,2,2017-03-09,0,estimated
"Atara Biotherapeutics, Inc.",ATRA,114e7,2018-03-08,Dec 2017,-1.14,2,2017-03-09,-0.63,estimated
"Athersys, Inc.",ATHX,21046e4,2018-03-08,Dec 2017,-0.08,1,2017-03-09,-0.1,estimated
"Audentes Therapeutics, Inc.",BOLD,102e7,2018-03-08,Dec 2017,-0.92,8,2017-03-09,-0.91,estimated
Aurinia Pharmaceuticals Inc,AUPH,43455e4,2018-03-08,Dec 2017,-0.14,4,2017-03-09,-0.22,estimated
"AutoWeb, Inc.",AUTO,10033e4,2018-03-08,Dec 2017,0.08,2,2017-03-09,0.29,estimated
"BioLife Solutions, Inc.",BLFS,687e5,2018-03-08,Dec 2017,-0.06,1,2017-03-09,-0.04,estimated
Blueprint Medicines Corporation,BPMC,341e7,2018-03-08,Dec 2017,-1.07,5,2017-03-09,-0.75,estimated
Bovie Medical Corporation,BVX,8051e4,2018-03-08,Dec 2017,-0.01,2,2017-03-09,-0.04,estimated
Cantel Medical Corp.,CMD,457e7,2018-03-08,Jan 2018,0.58,1,2017-03-09,0.52,estimated
"Cara Therapeutics, Inc.",CARA,41478e4,2018-03-08,Dec 2017,-0.4,4,2017-03-09,-0.81,estimated
"CAS Medical Systems, Inc.",CASM,33299999.999999996,2018-03-08,Dec 2017,-0.07,1,2017-03-09,-0.07,estimated
"Cascadian Therapeutics, Inc.",CASC,50518e4,2018-03-08,Dec 2017,-0.29,2,2017-03-09,-0.47,estimated
CECO Environmental Corp.,CECE,14855e4,2018-03-08,Dec 2017,0.07,1,2017-03-09,0.35,estimated
Check-Cap Ltd.,CHEK,137e5,2018-03-08,Dec 2017,-0.14,1,2017-03-09,-0.15,estimated
ChipMOS TECHNOLOGIES INC.,IMOS,71494e4,2018-03-08,Dec 2017,0.11,1,2017-03-09,0.45,estimated
"Codexis, Inc.",CDXS,39886e4,2018-03-08,Dec 2017,0.05,3,2017-03-09,-0.13,estimated
"Cogentix Medical, Inc.",CGNT,16505e4,2018-03-08,Dec 2017,0,1,2017-03-09,-0.14,estimated
"Cogint, Inc.",COGT,23917e4,2018-03-08,Dec 2017,-0.16,2,2017-03-09,-0.09,estimated
"Collegium Pharmaceutical, Inc.",COLL,69781e4,2018-03-08,Dec 2017,-0.53,5,2017-03-09,-1.02,estimated
"Commercial Vehicle Group, Inc.",CVGI,34031e4,2018-03-08,Dec 2017,0.13,1,2017-03-09,0.02,estimated
"Corbus Pharmaceuticals Holdings, Inc.",CRBP,39756e4,2018-03-08,Dec 2017,-0.16,2,2017-03-09,-0.18,estimated
"Curis, Inc.",CRIS,9491e4,2018-03-08,Dec 2017,-0.09,3,2017-03-09,-0.08,estimated
Differential Brands Group Inc.,DFBG,1293e4,2018-03-08,Dec 2017,0.05,2,2017-03-09,-0.37,estimated
DMC Global Inc.,BOOM,31311e4,2018-03-08,Dec 2017,0.09,1,2017-03-09,-0.15,estimated
Egalet Corporation,EGLT,4043e4,2018-03-08,Dec 2017,-0.38,2,2017-03-09,-0.87,estimated
"El Pollo Loco Holdings, Inc.",LOCO,36334e4,2018-03-08,Dec 2017,0.1,5,2017-03-09,0.12,estimated
"Eldorado Resorts, Inc.",ERI,26e8,2018-03-08,Dec 2017,0.23,4,2017-03-09,0.02,estimated
Embraer-Empresa Brasileira de Aeronautica,ERJ,481e7,2018-03-08,Dec 2017,0.69,4,2017-03-09,1.14,estimated
"Epizyme, Inc.",EPZM,116e7,2018-03-08,Dec 2017,-0.56,9,2017-03-09,-0.6,estimated
Fairmount Santrol Holdings Inc.,FMSA,111e7,2018-03-08,Dec 2017,0.14,7,2017-03-09,-0.11,estimated
"Ferrellgas Partners, L.P.",FGP,3993e5,2018-03-08,Jan 2018,0.61,1,2017-03-09,0.39,estimated
Fibrocell Science Inc,FCSC,1813e4,2018-03-08,Dec 2017,-0.23,2,2017-03-09,-0.33,estimated
Finisar Corporation,FNSR,2029999999.9999998,2018-03-08,Jan 2018,0.13,8,2017-03-09,0.47,estimated
"Flexion Therapeutics, Inc.",FLXN,86982e4,2018-03-08,Dec 2017,-1.09,4,2017-03-09,-0.78,estimated
"Freshpet, Inc.",FRPT,65365e4,2018-03-08,Dec 2017,0.05,6,2017-03-09,0.04,estimated
"FuelCell Energy, Inc.",FCEL,12184e4,2018-03-08,Jan 2018,-0.2,3,2017-03-09,-0.35,estimated
Gastar Exploration Inc.,GST,19054e4,2018-03-08,Dec 2017,-0.03,4,2017-03-09,-0.06,estimated
Global Partners LP,GLP,59322e4,2018-03-08,Dec 2017,0.2,5,2017-03-09,-0.38,estimated
GMS Inc.,GMS,137e7,2018-03-08,Jan 2018,0.39,5,2017-03-09,0.32,estimated
"Hallmark Financial Services, Inc.",HALL,17686e4,2018-03-08,Dec 2017,0.17,2,2017-03-09,-0.2,estimated
"Harvard Bioscience, Inc.",HBIO,15871e4,2018-03-08,Dec 2017,0.03,1,2017-03-09,0.01,estimated
Horizon Global Corporation,HZN,22768e4,2018-03-08,Dec 2017,-0.14,4,2017-03-09,-0.37,estimated
Inseego Corp.,INSG,11191e4,2018-03-08,Dec 2017,-0.14,1,2017-03-09,-0.07,estimated
Internap Corporation,INAP,6999e4,2018-03-08,Dec 2017,-0.6,1,2017-03-09,-0.48,estimated
International Game Technology,IGT,556e7,2018-03-08,Dec 2017,0.39,5,2017-03-09,0.88,estimated
inTest Corporation,INTT,8383e4,2018-03-08,Dec 2017,0.14,1,2017-03-09,0.1,estimated
"KemPharm, Inc.",KMPH,8355e4,2018-03-08,Dec 2017,-0.69,2,2017-03-09,-0.68,estimated
"Marcus & Millichap, Inc.",MMI,116e7,2018-03-08,Dec 2017,0.42,2,2017-03-09,0.44,estimated
MEDIFAST INC,MED,79574e4,2018-03-08,Dec 2017,0.48,1,2017-03-09,0.34,estimated
"Mirati Therapeutics, Inc.",MRTX,75778e4,2018-03-08,Dec 2017,-0.62,6,2017-03-09,-0.99,estimated
"Myers Industries, Inc.",MYE,61485e4,2018-03-08,Dec 2017,0.09,2,2017-03-09,0,estimated
"MYR Group, Inc.",MYRG,55098e4,2018-03-08,Dec 2017,0.33,4,2017-03-09,0.48,estimated
"Natural Gas Services Group, Inc.",NGS,3313e5,2018-03-08,Dec 2017,0.07,3,2017-03-09,0.09,estimated
"NII Holdings, Inc.",NIHD,5526e4,2018-03-08,Dec 2017,NA,0,2017-03-09,-0.4,estimated
"NV5 Global, Inc.",NVEE,48859e4,2018-03-08,Dec 2017,0.63,2,2017-03-09,0.44,estimated
"Orion Group Holdings, Inc.",ORN,1785e5,2018-03-08,Dec 2017,0.07,3,2017-03-09,0.09,estimated
Party City Holdco Inc.,PRTY,176e7,2018-03-08,Dec 2017,0.8,5,2017-03-09,0.75,estimated
"Peak Resorts, Inc.",SKIS,7271e4,2018-03-08,Jan 2018,0.54,5,2017-03-09,0.47,estimated
"Pioneer Power Solutions, Inc.",PPSI,65879999.99999999,2018-03-08,Dec 2017,0.14,1,2017-03-09,0.21,estimated
"Plug Power, Inc.",PLUG,45237e4,2018-03-08,Dec 2017,-0.06,5,2017-03-09,-0.08,estimated
"Pretium Resources, Inc.",PVG,122e7,2018-03-08,Dec 2017,0.01,2,2017-03-09,-0.04,estimated
"Profire Energy, Inc.",PFIE,10895e4,2018-03-08,Dec 2017,0.01,1,2017-03-09,0.01,estimated
Progenics Pharmaceuticals Inc.,PGNX,38929e4,2018-03-08,Dec 2017,-0.21,1,2017-03-09,-0.1,estimated
"Reis, Inc",REIS,2156e5,2018-03-08,Dec 2017,0.04,1,2017-03-09,-0.02,estimated
"Revolution Lighting Technologies, Inc.",RVLT,9676e4,2018-03-08,Dec 2017,-0.18,2,2017-03-09,0.11,estimated
"Salem Media Group, Inc.",SALM,1125e5,2018-03-08,Dec 2017,0.02,1,2017-03-09,0.27,estimated
"Second Sight Medical Products, Inc.",EYES,11191e4,2018-03-08,Dec 2017,-0.14,1,2017-03-09,-0.19,estimated
"Shiloh Industries, Inc.",SHLO,17159e4,2018-03-08,Jan 2018,NA,0,2017-03-09,-0.03,estimated
Signet Jewelers Limited,SIG,303e7,2018-03-08,Jan 2018,4.23,3,2017-03-09,4.03,estimated
"Southcross Energy Partners, L.P.",SXE,15612e4,2018-03-08,Dec 2017,-0.21,1,2017-03-09,-0.58,estimated
"Spero Therapeutics, Inc.",SPRO,5434e4,2018-03-08,Dec 2017,-1.56,2,NA,NA,estimated
Sterling Construction Company Inc,STRL,34598e4,2018-03-08,Dec 2017,0.13,2,2017-03-09,-0.25,estimated
"Strata Skin Sciences, Inc.",SSKN,546e4,2018-03-08,Dec 2017,-1.27,1,2017-03-09,-0.45,estimated
"Sunesis Pharmaceuticals, Inc.",SNSS,20344e4,2018-03-08,Dec 2017,-0.25,2,2017-03-09,-0.44,estimated
"Tandy Leather Factory, Inc.",TLF,6814e4,2018-03-08,Dec 2017,NA,0,2017-03-09,0.23,estimated
The Joint Corp.,JYNT,7016e4,2018-03-08,Dec 2017,-0.03,1,2017-03-09,-0.18,estimated
The Providence Service Corporation,PRSC,84636e4,2018-03-08,Dec 2017,0.36,1,2017-03-09,0.33,estimated
"THL Credit, Inc.",TCRD,28491e4,2018-03-08,Dec 2017,0.31,5,2017-03-09,0.28,estimated
"Top Image Systems, Ltd.",TISA,1874e4,2018-03-08,Dec 2017,-0.04,1,2017-03-09,-0.21,estimated
U.S. Geothermal Inc.,HTM,10464e4,2018-03-08,Dec 2017,0.09,1,2017-03-09,0.1,estimated
"Ulta Beauty, Inc.",ULTA,133e8,2018-03-08,Jan 2018,2.78,13,2017-03-09,2.24,estimated
"Unique Fabricating, Inc.",UFAB,7445e4,2018-03-08,Dec 2017,0.1,3,2017-03-09,0.16,estimated
USD Partners LP,USDP,29783e4,2018-03-08,Dec 2017,0.27,1,2017-03-09,0.17,estimated
Vical Incorporated,VICL,2792e4,2018-03-08,Dec 2017,-0.11,2,2017-03-09,-0.25,estimated
"Zafgen, Inc.",ZFGN,23888e4,2018-03-08,Dec 2017,-0.59,1,2017-03-09,-0.38,estimated
"Zogenix, Inc.",ZGNX,133e7,2018-03-08,Dec 2017,-1.01,3,2017-03-09,-0.73,estimated
Zumiez Inc.,ZUMZ,51636e4,2018-03-08,Jan 2018,0.89,4,2017-03-09,0.74,estimated
"Advaxis, Inc.",ADXS,11689e4,2018-03-09,Jan 2018,-0.58,2,2017-03-10,-0.43,estimated
"Buckle, Inc. (The)",BKE,104e7,2018-03-09,Jan 2018,0.75,1,2017-03-10,0.74,estimated
"Century Casinos, Inc.",CNTY,24633e4,2018-03-09,Dec 2017,0.07,3,2017-03-10,0.11,estimated
"Citi Trends, Inc.",CTRN,30777e4,2018-03-09,Jan 2018,0.43,1,2017-03-10,0.38,estimated
"Corvus Pharmaceuticals, Inc.",CRVS,17233e4,2018-03-09,Dec 2017,-0.66,1,2017-03-10,-0.55,estimated
CRISPR Therapeutics AG,CRSP,171e7,2018-03-09,Dec 2017,-0.71,3,2017-03-10,-0.4,estimated
"Diversified Restaurant Holdings, Inc.",SAUC,4005e4,2018-03-09,Dec 2017,0,1,2017-03-10,0.01,estimated
"Eco-Stim Energy Solutions, Inc.",ESES,10213e4,2018-03-09,Dec 2017,-0.03,3,2017-03-10,-0.23,estimated
"Endocyte, Inc.",ECYT,14556e4,2018-03-09,Dec 2017,-0.16,2,2017-03-10,-0.26,estimated
Energy Fuels Inc,UUUU,122e6,2018-03-09,Dec 2017,-0.07,2,2017-03-10,-0.19,estimated
"Everspin Technologies, Inc.",MRAM,11081e4,2018-03-09,Dec 2017,-0.37,2,2017-03-10,-0.48,estimated
Genesco Inc.,GCO,7119e5,2018-03-09,Jan 2018,2.08,5,2017-03-10,2.15,estimated
"Global Water Resources, Inc.",GWRS,1702e5,2018-03-09,Dec 2017,0.01,1,2017-03-10,0,estimated
"Hibbett Sports, Inc.",HIBB,45813e4,2018-03-09,Jan 2018,0.29,5,2017-03-10,0.54,estimated
InVivo Therapeutics Holdings Corp.,NVIV,1851e4,2018-03-09,Dec 2017,-0.16,1,2017-03-10,-0.21,estimated
"Jounce Therapeutics, Inc.",JNCE,75874e4,2018-03-09,Dec 2017,-0.59,3,2017-03-10,0.05,estimated
"Kirkland's, Inc.",KIRK,16922e4,2018-03-09,Jan 2018,0.96,2,2017-03-10,0.9,estimated
Kronos Worldwide Inc,KRO,286e7,2018-03-09,Dec 2017,0.49,1,2017-03-10,0.16,estimated
"Ocular Therapeutix, Inc.",OCUL,15363e4,2018-03-09,Dec 2017,-0.58,2,2017-03-10,-0.52,estimated
"One Liberty Properties, Inc.",OLP,42072e4,2018-03-09,Dec 2017,0.55,2,2017-03-10,0.51,estimated
Pacific Coast Oil Trust,ROYT,8488e4,2018-03-09,Dec 2017,0.06,1,NA,0,estimated
"Ply Gem Holdings, Inc.",PGEM,147e7,2018-03-09,Dec 2017,0.21,4,2017-03-10,0.14,estimated
"Pulmatrix, Inc.",PULM,32630000.000000004,2018-03-09,Dec 2017,-0.3,1,NA,NA,estimated
Sprague Resources LP,SRLP,5751e5,2018-03-09,Dec 2017,1.26,1,2017-03-10,-0.08,estimated
Stellus Capital Investment Corporation,SCM,18609e4,2018-03-09,Dec 2017,0.3,3,2017-03-10,0.37,estimated
"Superior Drilling Products, Inc.",SDPI,33549999.999999996,2018-03-09,Dec 2017,0,2,2017-03-10,-0.07,estimated
Telecom Argentina Stet - France Telecom S.A.,TEO,677e7,2018-03-09,Dec 2017,0.5,1,2017-03-10,0.5,estimated
"TG Therapeutics, Inc.",TGTX,87609e4,2018-03-09,Dec 2017,-0.46,5,2017-03-10,-0.48,estimated
"TheStreet, Inc.",TST,6225e4,2018-03-09,Dec 2017,0,2,2017-03-10,-0.05,estimated
Trillium Therapeutics Inc.,TRIL,9335e4,2018-03-09,Dec 2017,-0.89,2,2017-03-10,-0.86,estimated
Urstadt Biddle Properties Inc.,UBA,69259e4,2018-03-09,Jan 2018,0.33,2,2017-03-10,0.28,estimated
"Vail Resorts, Inc.",MTN,867e7,2018-03-09,Jan 2018,3.58,5,2017-03-10,3.63,estimated
Vericel Corporation,VCEL,25134e4,2018-03-09,Dec 2017,-0.1,1,2017-03-10,-0.14,estimated
VolitionRX Limited,VNRX,8088e4,2018-03-09,Dec 2017,-0.16,2,2017-03-10,-0.12,estimated
"Advaxis, Inc.",ADXS,11689e4,2018-03-09,Jan 2018,-0.58,2,2017-03-10,-0.43,estimated
"Buckle, Inc. (The)",BKE,104e7,2018-03-09,Jan 2018,0.75,1,2017-03-10,0.74,estimated
"Century Casinos, Inc.",CNTY,24633e4,2018-03-09,Dec 2017,0.07,3,2017-03-10,0.11,estimated
"Citi Trends, Inc.",CTRN,30777e4,2018-03-09,Jan 2018,0.43,1,2017-03-10,0.38,estimated
"Corvus Pharmaceuticals, Inc.",CRVS,17233e4,2018-03-09,Dec 2017,-0.66,1,2017-03-10,-0.55,estimated
CRISPR Therapeutics AG,CRSP,171e7,2018-03-09,Dec 2017,-0.71,3,2017-03-10,-0.4,estimated
"Diversified Restaurant Holdings, Inc.",SAUC,4005e4,2018-03-09,Dec 2017,0,1,2017-03-10,0.01,estimated
"Eco-Stim Energy Solutions, Inc.",ESES,10213e4,2018-03-09,Dec 2017,-0.03,3,2017-03-10,-0.23,estimated
"Endocyte, Inc.",ECYT,14556e4,2018-03-09,Dec 2017,-0.16,2,2017-03-10,-0.26,estimated
Energy Fuels Inc,UUUU,122e6,2018-03-09,Dec 2017,-0.07,2,2017-03-10,-0.19,estimated
"Everspin Technologies, Inc.",MRAM,11081e4,2018-03-09,Dec 2017,-0.37,2,2017-03-10,-0.48,estimated
Genesco Inc.,GCO,7119e5,2018-03-09,Jan 2018,2.08,5,2017-03-10,2.15,estimated
"Global Water Resources, Inc.",GWRS,1702e5,2018-03-09,Dec 2017,0.01,1,2017-03-10,0,estimated
"Hibbett Sports, Inc.",HIBB,45813e4,2018-03-09,Jan 2018,0.29,5,2017-03-10,0.54,estimated
InVivo Therapeutics Holdings Corp.,NVIV,1851e4,2018-03-09,Dec 2017,-0.16,1,2017-03-10,-0.21,estimated
"Jounce Therapeutics, Inc.",JNCE,75874e4,2018-03-09,Dec 2017,-0.59,3,2017-03-10,0.05,estimated
"Kirkland's, Inc.",KIRK,16922e4,2018-03-09,Jan 2018,0.96,2,2017-03-10,0.9,estimated
Kronos Worldwide Inc,KRO,286e7,2018-03-09,Dec 2017,0.49,1,2017-03-10,0.16,estimated
"Ocular Therapeutix, Inc.",OCUL,15363e4,2018-03-09,Dec 2017,-0.58,2,2017-03-10,-0.52,estimated
"One Liberty Properties, Inc.",OLP,42072e4,2018-03-09,Dec 2017,0.55,2,2017-03-10,0.51,estimated
Pacific Coast Oil Trust,ROYT,8488e4,2018-03-09,Dec 2017,0.06,1,NA,0,estimated
"Ply Gem Holdings, Inc.",PGEM,147e7,2018-03-09,Dec 2017,0.21,4,2017-03-10,0.14,estimated
"Pulmatrix, Inc.",PULM,32630000.000000004,2018-03-09,Dec 2017,-0.3,1,NA,NA,estimated
Sprague Resources LP,SRLP,5751e5,2018-03-09,Dec 2017,1.26,1,2017-03-10,-0.08,estimated
Stellus Capital Investment Corporation,SCM,18609e4,2018-03-09,Dec 2017,0.3,3,2017-03-10,0.37,estimated
"Superior Drilling Products, Inc.",SDPI,33549999.999999996,2018-03-09,Dec 2017,0,2,2017-03-10,-0.07,estimated
Telecom Argentina Stet - France Telecom S.A.,TEO,677e7,2018-03-09,Dec 2017,0.5,1,2017-03-10,0.5,estimated
"TG Therapeutics, Inc.",TGTX,87609e4,2018-03-09,Dec 2017,-0.46,5,2017-03-10,-0.48,estimated
"TheStreet, Inc.",TST,6225e4,2018-03-09,Dec 2017,0,2,2017-03-10,-0.05,estimated
Trillium Therapeutics Inc.,TRIL,9335e4,2018-03-09,Dec 2017,-0.89,2,2017-03-10,-0.86,estimated
Urstadt Biddle Properties Inc.,UBA,69259e4,2018-03-09,Jan 2018,0.33,2,2017-03-10,0.28,estimated
"Vail Resorts, Inc.",MTN,867e7,2018-03-09,Jan 2018,3.58,5,2017-03-10,3.63,estimated
Vericel Corporation,VCEL,25134e4,2018-03-09,Dec 2017,-0.1,1,2017-03-10,-0.14,estimated
VolitionRX Limited,VNRX,8088e4,2018-03-09,Dec 2017,-0.16,2,2017-03-10,-0.12,estimated
"Advaxis, Inc.",ADXS,11689e4,2018-03-09,Jan 2018,-0.58,2,2017-03-10,-0.43,estimated
"Buckle, Inc. (The)",BKE,104e7,2018-03-09,Jan 2018,0.75,1,2017-03-10,0.74,estimated
"Century Casinos, Inc.",CNTY,24633e4,2018-03-09,Dec 2017,0.07,3,2017-03-10,0.11,estimated
"Citi Trends, Inc.",CTRN,30777e4,2018-03-09,Jan 2018,0.43,1,2017-03-10,0.38,estimated
"Corvus Pharmaceuticals, Inc.",CRVS,17233e4,2018-03-09,Dec 2017,-0.66,1,2017-03-10,-0.55,estimated
CRISPR Therapeutics AG,CRSP,171e7,2018-03-09,Dec 2017,-0.71,3,2017-03-10,-0.4,estimated
"Diversified Restaurant Holdings, Inc.",SAUC,4005e4,2018-03-09,Dec 2017,0,1,2017-03-10,0.01,estimated
"Eco-Stim Energy Solutions, Inc.",ESES,10213e4,2018-03-09,Dec 2017,-0.03,3,2017-03-10,-0.23,estimated
"Endocyte, Inc.",ECYT,14556e4,2018-03-09,Dec 2017,-0.16,2,2017-03-10,-0.26,estimated
Energy Fuels Inc,UUUU,122e6,2018-03-09,Dec 2017,-0.07,2,2017-03-10,-0.19,estimated
"Everspin Technologies, Inc.",MRAM,11081e4,2018-03-09,Dec 2017,-0.37,2,2017-03-10,-0.48,estimated
Genesco Inc.,GCO,7119e5,2018-03-09,Jan 2018,2.08,5,2017-03-10,2.15,estimated
"Global Water Resources, Inc.",GWRS,1702e5,2018-03-09,Dec 2017,0.01,1,2017-03-10,0,estimated
"Hibbett Sports, Inc.",HIBB,45813e4,2018-03-09,Jan 2018,0.29,5,2017-03-10,0.54,estimated
InVivo Therapeutics Holdings Corp.,NVIV,1851e4,2018-03-09,Dec 2017,-0.16,1,2017-03-10,-0.21,estimated
"Jounce Therapeutics, Inc.",JNCE,75874e4,2018-03-09,Dec 2017,-0.59,3,2017-03-10,0.05,estimated
"Kirkland's, Inc.",KIRK,16922e4,2018-03-09,Jan 2018,0.96,2,2017-03-10,0.9,estimated
Kronos Worldwide Inc,KRO,286e7,2018-03-09,Dec 2017,0.49,1,2017-03-10,0.16,estimated
"Ocular Therapeutix, Inc.",OCUL,15363e4,2018-03-09,Dec 2017,-0.58,2,2017-03-10,-0.52,estimated
"One Liberty Properties, Inc.",OLP,42072e4,2018-03-09,Dec 2017,0.55,2,2017-03-10,0.51,estimated
Pacific Coast Oil Trust,ROYT,8488e4,2018-03-09,Dec 2017,0.06,1,NA,0,estimated
"Ply Gem Holdings, Inc.",PGEM,147e7,2018-03-09,Dec 2017,0.21,4,2017-03-10,0.14,estimated
"Pulmatrix, Inc.",PULM,32630000.000000004,2018-03-09,Dec 2017,-0.3,1,NA,NA,estimated
Sprague Resources LP,SRLP,5751e5,2018-03-09,Dec 2017,1.26,1,2017-03-10,-0.08,estimated
Stellus Capital Investment Corporation,SCM,18609e4,2018-03-09,Dec 2017,0.3,3,2017-03-10,0.37,estimated
"Superior Drilling Products, Inc.",SDPI,33549999.999999996,2018-03-09,Dec 2017,0,2,2017-03-10,-0.07,estimated
Telecom Argentina Stet - France Telecom S.A.,TEO,677e7,2018-03-09,Dec 2017,0.5,1,2017-03-10,0.5,estimated
"TG Therapeutics, Inc.",TGTX,87609e4,2018-03-09,Dec 2017,-0.46,5,2017-03-10,-0.48,estimated
"TheStreet, Inc.",TST,6225e4,2018-03-09,Dec 2017,0,2,2017-03-10,-0.05,estimated
Trillium Therapeutics Inc.,TRIL,9335e4,2018-03-09,Dec 2017,-0.89,2,2017-03-10,-0.86,estimated
Urstadt Biddle Properties Inc.,UBA,69259e4,2018-03-09,Jan 2018,0.33,2,2017-03-10,0.28,estimated
"Vail Resorts, Inc.",MTN,867e7,2018-03-09,Jan 2018,3.58,5,2017-03-10,3.63,estimated
Vericel Corporation,VCEL,25134e4,2018-03-09,Dec 2017,-0.1,1,2017-03-10,-0.14,estimated
VolitionRX Limited,VNRX,8088e4,2018-03-09,Dec 2017,-0.16,2,2017-03-10,-0.12,estimated
