symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
ESNC,"EnSync, Inc.",0.44,2457e4,NA,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/esnc,AMEX
EGI,Entree Resources Ltd.,0.4976,8637e4,2017,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/egi,AMEX
EVI,"EnviroStarm, Inc.",34.7,37496e4,NA,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/evi,AMEX
ERN,Erin Energy Corp.,2.55,54813e4,NA,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ern,AMEX
ESP,Espey Mfg. & Electronics Corp.,23.1,5471e4,NA,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esp,AMEX
EVBN,"Evans Bancorp, Inc.",42.85,20479e4,NA,Finance,Major Banks,http://www.nasdaq.com/symbol/evbn,AMEX
EPM,"Evolution Petroleum Corporation, Inc.",6.75,22318e4,NA,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/epm,AMEX
FEN,First Trust Energy Income and Growth Fund,23.9,46359e4,2004,NA,NA,http://www.nasdaq.com/symbol/fen,AMEX
BDL,"Flanigan&#39;s Enterprises, Inc.",22.3,4145e4,NA,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bdl,AMEX
FSI,Flexible Solutions International Inc.,1.6899,1947e4,NA,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/fsi,AMEX
FTF,Franklin Limited Duration Income Trust,11.66,26356e4,2003,NA,NA,http://www.nasdaq.com/symbol/ftf,AMEX
FSP,Franklin Street Properties Corp.,10.65,114e7,NA,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/fsp,AMEX
FRD,Friedman Industries Inc.,5.15,361e5,NA,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/frd,AMEX
FTNW,"FTE Networks, Inc.",10.3,5765e4,NA,NA,NA,http://www.nasdaq.com/symbol/ftnw,AMEX
GGN,"GAMCO Global Gold, Natural Reources & Income Trust",5.16,69822e4,2005,NA,NA,http://www.nasdaq.com/symbol/ggn,AMEX
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust",24.77,NA,NA,NA,NA,http://www.nasdaq.com/symbol/ggn^b,AMEX
GST,Gastar Exploration Inc.,0.9138,20007e4,NA,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gst,AMEX
GST^A,Gastar Exploration Inc.,17.3259,NA,NA,NA,NA,http://www.nasdaq.com/symbol/gst^a,AMEX
GST^B,Gastar Exploration Inc.,18.31,NA,NA,NA,NA,http://www.nasdaq.com/symbol/gst^b,AMEX
JOB,GEE Group Inc.,2.76,2727e4,NA,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/job,AMEX
GMO,"General Moly, Inc",0.3222,3582e4,NA,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gmo,AMEX
GSB,"GlobalSCAPE, Inc.",3.48,7507e4,NA,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gsb,AMEX
GSAT,"Globalstar, Inc.",1.15,145e7,2006,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/gsat,AMEX
GLOW,"Glowpoint, Inc.",0.32,1156e4,NA,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/glow,AMEX
GORO,Gold Resource Corporation,4.13,23496e4,NA,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/goro,AMEX
GSV,Gold Standard Ventures Corporation,1.66,38767e4,NA,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/gsv,AMEX
